id,file,index,question_preview
101,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",0,What is the coverage area for Light Hazard heads (Standard Spray)?
101,"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",0,What is the coverage area for Light Hazard heads (Standard Spray)?
102,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",1,What is the coverage area for Ordinary Hazard heads?
102,"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",1,What is the coverage area for Ordinary Hazard heads?
103,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",2,What is the coverage area for Extra Hazard heads?
103,"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",2,What is the coverage area for Extra Hazard heads?
104,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",3,"What is the maximum distance between hangers on 1"" schedule 40 pipe?"
104,"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",3,"What is the maximum distance between hangers on 1"" schedule 40 pipe?"
105,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",4,"What is the maximum distance between hangers on 1¼"" schedule 40 pipe?"
105,"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",4,"What is the maximum distance between hangers on 1¼"" schedule 40 pipe?"
106,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",5,"What is the maximum distance between hangers on 1½"" schedule 40 pipe?"
106,"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",5,"What is the maximum distance between hangers on 1½"" schedule 40 pipe?"
107,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",6,"Maximum unsupported length of pipe from end of 1"" pipe to last hanger?"
107,"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",6,"Maximum unsupported length of pipe from end of 1"" pipe to last hanger?"
108,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",7,"Maximum unsupported length of pipe from end of 1¼"" pipe to last hanger?"
108,"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",7,"Maximum unsupported length of pipe from end of 1¼"" pipe to last hanger?"
109,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",8,"Maximum unsupported length of pipe from end of 1½"" pipe to last hanger?"
109,"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",8,"Maximum unsupported length of pipe from end of 1½"" pipe to last hanger?"
115,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",9,"In Light Hazard, how many sprinklers can be fed by a 1"" pipe?"
115,"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",14,"In Light Hazard, how many sprinklers can be fed by a 1"" pipe?"
116,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",10,"In Light Hazard, how many sprinklers can be fed by a 1½"" pipe?"
116,"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",15,"In Light Hazard, how many sprinklers can be fed by a 1½"" pipe?"
117,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",11,Minimum distance between a standard sprinkler deflector and the top of storage?
117,"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",16,Minimum distance between a standard sprinkler deflector and the top of storage?
118,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",12,Minimum distance a standard sprinkler must be from a wall?
118,"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",17,Minimum distance a standard sprinkler must be from a wall?
119,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",13,Minimum distance between two standard sprinklers?
119,"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",18,Minimum distance between two standard sprinklers?
122,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",14,NFPA 13R applies to residential buildings up to what height?
122,"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",21,NFPA 13R applies to residential buildings up to what height?
123,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",15,What is the water supply duration requirement for NFPA 13D?
123,"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",22,What is the water supply duration requirement for NFPA 13D?
1501,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",16,"To avoid an obstruction (Beam Rule), how far must the sprinkler be from the side of the beam?"
1501,File 18 - The 'Three Times Rule' & Obstructions (NFPA 13).json,0,"To avoid an obstruction (Beam Rule), how far must the sprinkler be from the side of the beam?"
1502,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",17,"If a pipe 3 inches wide is running directly under a sprinkler, how far down must the obstruction be to not require a new head?"
1502,File 18 - The 'Three Times Rule' & Obstructions (NFPA 13).json,1,"If a pipe 3 inches wide is running directly under a sprinkler, how far down must the obstruction be to not require a new head?"
2701,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",18,A Restaurant Seating Area is classified as what hazard?
2701,File 30 - Commodity Classification (NFPA 13).json,0,A Restaurant Seating Area is classified as what hazard?
2702,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",19,A Restaurant Service Area (Kitchen) is classified as what hazard?
2702,File 30 - Commodity Classification (NFPA 13).json,1,A Restaurant Service Area (Kitchen) is classified as what hazard?
1401,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",20,"In rack storage, what is the minimum required width for a transverse flue space?"
1401,File 17 - Storage & Special Hazards (NFPA 13).json,0,"In rack storage, what is the minimum required width for a transverse flue space?"
1402,"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",21,What is the maximum ceiling height generally permitted for K-14 ESFR sprinklers protecting Class I-IV commodities?
1402,File 17 - Storage & Special Hazards (NFPA 13).json,1,What is the maximum ceiling height generally permitted for K-14 ESFR sprinklers protecting Class I-IV commodities?
201,"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",0,How often do you inspect private fire hydrants?
201,"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",0,How often do you inspect private fire hydrants?
202,"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",1,How often is a flow test conducted on a standpipe system?
202,"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",1,How often is a flow test conducted on a standpipe system?
203,"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",2,How often do you check water level and air pressure in a pressure tank?
203,"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",2,How often do you check water level and air pressure in a pressure tank?
204,"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",3,How often is the INTERIOR of a pressure tank inspected (if no corrosion protection)?
204,"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",3,How often is the INTERIOR of a pressure tank inspected (if no corrosion protection)?
205,"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",4,How long must a diesel fire pump run during a weekly test?
