file,index,orig_id,new_id,question_preview
Bonus File 33 - The 'Impossible' Questions.json,0,3001,103001,"In NEW systems (post-2012), can you use pure glycerin and mix it with water on site?"
Bonus File 33 - The 'Impossible' Questions.json,1,3002,103002,Where does the Forward Flow Test of a backflow preventer take place?
Bonus File 33 - The 'Impossible' Questions.json,2,3003,103003,Can you drive a lag screw into the side of a wood beam (horizontal)?
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",0,101,200101,What is the coverage area for Light Hazard heads (Standard Spray)?
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",1,102,200102,What is the coverage area for Ordinary Hazard heads?
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",2,103,200103,What is the coverage area for Extra Hazard heads?
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",3,104,200104,"What is the maximum distance between hangers on 1"" schedule 40 pipe?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",4,105,200105,"What is the maximum distance between hangers on 1¼"" schedule 40 pipe?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",5,106,200106,"What is the maximum distance between hangers on 1½"" schedule 40 pipe?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",6,107,200107,"Maximum unsupported length of pipe from end of 1"" pipe to last hanger?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",7,108,200108,"Maximum unsupported length of pipe from end of 1¼"" pipe to last hanger?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",8,109,200109,"Maximum unsupported length of pipe from end of 1½"" pipe to last hanger?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",9,115,200115,"In Light Hazard, how many sprinklers can be fed by a 1"" pipe?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",10,116,200116,"In Light Hazard, how many sprinklers can be fed by a 1½"" pipe?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",11,117,200117,Minimum distance between a standard sprinkler deflector and the top of storage?
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",12,118,200118,Minimum distance a standard sprinkler must be from a wall?
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",13,119,200119,Minimum distance between two standard sprinklers?
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",14,122,200122,NFPA 13R applies to residential buildings up to what height?
